ticker,Date,ShortVolume,ShortExemptVolume,TotalVolume,short_int
NVAX,2021-01-29,4065772.0,20995.0,11303434.0,0.359693523224889
PENN,2021-01-04,602953.0,5413.0,1569575.0,0.3841504865966902
PENN,2021-01-05,455671.0,403.0,961782.0,0.47377784154829267
PENN,2021-01-06,1894073.0,924.0,2995198.0,0.6323698800546742
PENN,2021-01-07,733726.0,4662.0,1143403.0,0.6417037562434242
PENN,2021-01-08,984690.0,3310.0,1624820.0,0.6060302064228653
PENN,2021-01-11,1225713.0,5536.0,2221164.0,0.5518336331761184
PENN,2021-01-12,873000.0,1730.0,1567267.0,0.5570205970010216
PENN,2021-01-13,326821.0,2906.0,991394.0,0.3296580370669986
PENN,2021-01-14,507778.0,352.0,1442940.0,0.35190513812078117
PENN,2021-01-15,542401.0,5863.0,1424438.0,0.3807824559580691
PENN,2021-01-19,876076.0,4473.0,1852416.0,0.4729369644831399
PENN,2021-01-20,444360.0,1037.0,1036680.0,0.4286375737932631
PENN,2021-01-21,537929.0,772.0,961462.0,0.5594906506965434
PENN,2021-01-22,705111.0,133.0,1223268.0,0.576415797682928
PENN,2021-01-25,567901.0,635.0,1483647.0,0.38277366516428774
PENN,2021-01-26,934321.0,3365.0,1680221.0,0.5560703026566148
PENN,2021-01-27,1853576.0,1612.0,2755836.0,0.6726002563287511
PENN,2021-01-28,1030423.0,2182.0,1826705.0,0.564088344861376
PENN,2021-01-29,657648.0,1832.0,1299497.0,0.5060788905245645
PLUG,2021-01-04,3123242.0,19043.0,9176779.0,0.34034185633107217
PLUG,2021-01-05,1931266.0,14100.0,5844731.0,0.3304285518016141
PLUG,2021-01-06,4971879.0,45251.0,14495805.0,0.34298743671013787
PLUG,2021-01-07,21440295.0,55891.0,36700213.0,0.584200832839853
PLUG,2021-01-08,24530630.0,82776.0,38377047.0,0.6392005617315997
PLUG,2021-01-11,9053576.0,241957.0,15601288.0,0.5803095231624465
