Date,S&P500,DJ30,sp500_rtn,DJ30_rtn
2019-07-12,3013.77002,27332.029297,0.00462,0.009006
2019-07-15,3014.300049,27359.160156,0.000176,0.000993
2019-07-16,3004.040039,27335.630859,-0.003404,-0.00086
2019-07-17,2984.419922,27219.849609,-0.006531,-0.004236
2019-07-18,2995.110107,27222.970703,0.003582,0.000115
2019-07-19,2976.610107,27154.199219,-0.006177,-0.002526
2019-07-22,2985.030029,27171.900391,0.002829,0.000652
2019-07-23,3005.469971,27349.189453,0.006847,0.006525
2019-07-24,3019.560059,27269.970703,0.004688,-0.002897
2019-07-25,3003.669922,27140.980469,-0.005262,-0.00473
2019-07-26,3025.860107,27192.449219,0.007388,0.001896
2019-07-29,3020.969971,27221.349609,-0.001616,0.001063
2019-07-30,3013.179932,27198.019531,-0.002579,-0.000857
2019-07-31,2980.379883,26864.269531,-0.010886,-0.012271
2019-08-01,2953.560059,26583.419922,-0.008999,-0.010454
2019-08-02,2932.050049,26485.009766,-0.007283,-0.003702
2019-08-05,2844.73999,25717.740234,-0.029778,-0.02897
2019-08-06,2881.77002,26029.519531,0.013017,0.012123
2019-08-07,2883.97998,26007.070312,0.000767,-0.000862
2019-08-08,2938.090088,26378.189453,0.018762,0.01427
2019-08-09,2918.649902,26287.439453,-0.006617,-0.00344
2019-08-12,2882.699951,25896.439453,-0.012317,-0.014874
2019-08-13,2926.320068,26279.910156,0.015132,0.014808
2019-08-14,2840.600098,25479.419922,-0.029293,-0.03046
2019-08-15,2847.600098,25579.390625,0.002464,0.003924
2019-08-16,2888.679932,25886.009766,0.014426,0.011987
2019-08-19,2923.649902,26135.789062,0.012106,0.009649
2019-08-20,2900.51001,25962.439453,-0.007915,-0.006633
2019-08-21,2924.429932,26202.730469,0.008247,0.009255
2019-08-22,2922.949951,26252.240234,-0.000506,0.001889
2019-08-23,2847.110107,25628.900391,-0.025946,-0.023744
2019-08-26,2878.379883,25898.830078,0.010983,0.010532
2019-08-27,2869.159912,25777.900391,-0.003203,-0.004669
2019-08-28,2887.939941,26036.099609,0.006545,0.010016
2019-08-29,2924.580078,26362.25,0.012687,0.012527
2019-08-30,2926.459961,26403.279297,0.000643,0.001556
2019-09-03,2906.27002,26118.019531,-0.006899,-0.010804
2019-09-04,2937.780029,26355.470703,0.010842,0.009091
2019-09-05,2976.0,26728.150391,0.01301,0.014141
2019-09-06,2978.709961,26797.460938,0.000911,0.002593
2019-09-09,2978.429932,26835.509766,-9.4e-05,0.00142
2019-09-10,2979.389893,26909.429688,0.000322,0.002755
2019-09-11,3000.929932,27137.039062,0.00723,0.008458
2019-09-12,3009.570068,27182.449219,0.002879,0.001673
2019-09-13,3007.389893,27219.519531,-0.000724,0.001364
2019-09-16,2997.959961,27076.820312,-0.003136,-0.005243
2019-09-17,3005.699951,27110.800781,0.002582,0.001255
2019-09-18,3006.72998,27147.080078,0.000343,0.001338
2019-09-19,3006.790039,27094.789062,2e-05,-0.001926
2019-09-20,2992.070068,26935.070312,-0.004896,-0.005895
2019-09-23,2991.780029,26949.990234,-9.7e-05,0.000554
2019-09-24,2966.600098,26807.769531,-0.008416,-0.005277
2019-09-25,2984.870117,26970.710938,0.006159,0.006078
2019-09-26,2977.620117,26891.119141,-0.002429,-0.002951
2019-09-27,2961.790039,26820.25,-0.005316,-0.002635
2019-09-30,2976.73999,26916.830078,0.005048,0.003601
2019-10-01,2940.25,26573.039062,-0.012258,-0.012772
2019-10-02,2887.610107,26078.619141,-0.017903,-0.018606
2019-10-03,2910.629883,26201.039062,0.007972,0.004694
2019-10-04,2952.01001,26573.720703,0.014217,0.014224
2019-10-07,2938.790039,26478.019531,-0.004478,-0.003601
2019-10-08,2893.060059,26164.039062,-0.015561,-0.011858
2019-10-09,2919.399902,26346.009766,0.009104,0.006955
2019-10-10,2938.129883,26496.669922,0.006416,0.005719
2019-10-11,2970.27002,26816.589844,0.010939,0.012074
2019-10-14,2966.149902,26787.359375,-0.001387,-0.00109
2019-10-15,2995.679932,27024.800781,0.009956,0.008864
2019-10-16,2989.689941,27001.980469,-0.002,-0.000844
2019-10-17,2997.949951,27025.880859,0.002763,0.000885
2019-10-18,2986.199951,26770.199219,-0.003919,-0.009461
2019-10-21,3006.719971,26827.640625,0.006872,0.002146
2019-10-22,2995.98999,26788.099609,-0.003569,-0.001474
2019-10-23,3004.52002,26833.949219,0.002847,0.001712
2019-10-24,3010.290039,26805.529297,0.00192,-0.001059
2019-10-25,3022.550049,26958.060547,0.004073,0.00569
2019-10-28,3039.419922,27090.720703,0.005581,0.004921
2019-10-29,3036.889893,27071.460938,-0.000832,-0.000711
2019-10-30,3046.77002,27186.689453,0.003253,0.004256
2019-10-31,3037.560059,27046.230469,-0.003023,-0.005166
2019-11-01,3066.909912,27347.359375,0.009662,0.011134
2019-11-04,3078.27002,27462.109375,0.003704,0.004196
2019-11-05,3074.620117,27492.630859,-0.001186,0.001111
2019-11-06,3076.780029,27492.560547,0.000702,-3e-06
2019-11-07,3085.179932,27674.800781,0.00273,0.006629
2019-11-08,3093.080078,27681.240234,0.002561,0.000233
2019-11-11,3087.01001,27691.490234,-0.001962,0.00037
2019-11-12,3091.840088,27691.490234,0.001565,0.0
2019-11-13,3094.040039,27783.589844,0.000712,0.003326
2019-11-14,3096.629883,27781.960938,0.000837,-5.9e-05
2019-11-15,3120.459961,28004.890625,0.007695,0.008024
2019-11-18,3122.030029,28036.220703,0.000503,0.001119
2019-11-19,3120.179932,27934.019531,-0.000593,-0.003645
2019-11-20,3108.459961,27821.089844,-0.003756,-0.004043
2019-11-21,3103.540039,27766.289062,-0.001583,-0.00197
2019-11-22,3110.290039,27875.619141,0.002175,0.003938
2019-11-25,3133.639893,28066.470703,0.007507,0.006847
2019-11-26,3140.52002,28121.679688,0.002196,0.001967
2019-11-27,3153.629883,28164.0,0.004174,0.001505
2019-11-29,3140.97998,28051.410156,-0.004011,-0.003998
2019-12-02,3113.870117,27783.039062,-0.008631,-0.009567
2019-12-03,3093.199951,27502.810547,-0.006638,-0.010086
2019-12-04,3112.76001,27649.779297,0.006324,0.005344
2019-12-05,3117.429932,27677.789062,0.0015,0.001013
2019-12-06,3145.909912,28015.060547,0.009136,0.012186
2019-12-09,3135.959961,27909.599609,-0.003163,-0.003764
2019-12-10,3132.52002,27881.720703,-0.001097,-0.000999
2019-12-11,3141.629883,27911.300781,0.002908,0.001061
2019-12-12,3168.570068,28132.050781,0.008575,0.007909
2019-12-13,3168.800049,28135.380859,7.3e-05,0.000118
2019-12-16,3191.449951,28235.890625,0.007148,0.003572
2019-12-17,3192.52002,28267.160156,0.000335,0.001107
2019-12-18,3191.139893,28239.279297,-0.000432,-0.000986
2019-12-19,3205.370117,28376.960938,0.004459,0.004876
2019-12-20,3221.219971,28455.089844,0.004945,0.002753
2019-12-23,3224.01001,28551.529297,0.000866,0.003389
2019-12-24,3223.379883,28515.449219,-0.000195,-0.001264
2019-12-26,3239.909912,28621.390625,0.005128,0.003715
2019-12-27,3240.02002,28645.259766,3.4e-05,0.000834
2019-12-30,3221.290039,28462.140625,-0.005781,-0.006393
2019-12-31,3230.780029,28538.439453,0.002946,0.002681
2020-01-02,3257.850098,28868.800781,0.008379,0.011576
2020-01-03,3234.850098,28634.880859,-0.00706,-0.008103
2020-01-06,3246.280029,28703.380859,0.003533,0.002392
2020-01-07,3237.179932,28583.679688,-0.002803,-0.00417
2020-01-08,3253.050049,28745.089844,0.004902,0.005647
2020-01-09,3274.699951,28956.900391,0.006655,0.007369
2020-01-10,3265.350098,28823.769531,-0.002855,-0.004598
2020-01-13,3288.129883,28907.050781,0.006976,0.002889
2020-01-14,3283.149902,28939.669922,-0.001515,0.001128
2020-01-15,3289.290039,29030.220703,0.00187,0.003129
2020-01-16,3316.810059,29297.640625,0.008367,0.009212
2020-01-17,3329.620117,29348.099609,0.003862,0.001722
2020-01-21,3320.790039,29196.039062,-0.002652,-0.005181
2020-01-22,3321.75,29186.269531,0.000289,-0.000335
2020-01-23,3325.540039,29160.089844,0.001141,-0.000897
2020-01-24,3295.469971,28989.730469,-0.009042,-0.005842
2020-01-27,3243.629883,28535.800781,-0.015731,-0.015658
2020-01-28,3276.23999,28722.849609,0.010054,0.006555
2020-01-29,3273.399902,28734.449219,-0.000867,0.000404
2020-01-30,3283.659912,28859.439453,0.003134,0.00435
2020-01-31,3225.52002,28256.029297,-0.017706,-0.020909
2020-02-03,3248.919922,28399.810547,0.007255,0.005089
2020-02-04,3297.590088,28807.630859,0.01498,0.01436
2020-02-05,3334.689941,29290.849609,0.011251,0.016774
2020-02-06,3345.780029,29379.769531,0.003326,0.003036
2020-02-07,3327.709961,29102.509766,-0.005401,-0.009437
2020-02-10,3352.090088,29276.820312,0.007326,0.00599
