Date,BTC,ETH,BNB,XRP,USDT,DOGE,ADA,BCH,LTC,LINK,BTC_rtn,ETH_rtn,BNB_rtn,XRP_rtn,USDT_rtn,DOGE_rtn,ADA_rtn,BCH_rtn,LTC_rtn,LINK_rtn
2019-03-28,4069.107178,139.416473,16.80533,0.309246,1.010852,0.002074,0.065828,169.454041,61.170486,0.503459,-0.004394,-0.011148,0.001429,-0.010302,-0.001384,-0.005276,-0.026141,-0.021518,-0.017364,0.007178
2019-03-29,4098.374512,142.497421,16.510141,0.307929,0.998496,0.002087,0.071289,170.449982,61.301613,0.499502,0.007193,0.022099,-0.017565,-0.004259,-0.012223,0.006268,0.082959,0.005877,0.002144,-0.00786
2019-03-30,4106.660156,142.092682,16.932213,0.310632,1.000349,0.00208,0.071739,168.588196,60.621964,0.494278,0.002022,-0.00284,0.025564,0.008778,0.001856,-0.003354,0.006312,-0.010923,-0.011087,-0.010458
2019-03-31,4158.183105,141.830322,17.950502,0.312747,1.003026,0.002461,0.07233,167.626999,60.677994,0.556138,0.012546,-0.001846,0.060139,0.006809,0.002676,0.183173,0.008238,-0.005701,0.000924,0.125152
2019-03-31,4105.404297,141.514099,17.40167,0.309229,1.000559,0.00208,0.069746,168.937546,60.755398,0.507613,-0.012693,-0.00223,-0.030575,-0.011249,-0.00246,-0.154815,-0.035725,0.007818,0.001276,-0.087253
2019-04-01,4879.87793,163.961746,19.789783,0.351499,1.008167,0.002795,0.085467,236.132599,76.19326,0.584279,0.188647,0.158625,0.137235,0.136695,0.007604,0.34375,0.225404,0.397751,0.254099,0.151032
2019-04-02,4973.021973,161.458801,18.753063,0.342234,1.007502,0.003164,0.090723,298.352539,84.921936,0.565453,0.019087,-0.015265,-0.052387,-0.026359,-0.00066,0.132021,0.061497,0.263496,0.11456,-0.032221
2019-04-03,4922.798828,158.052536,19.142689,0.332513,1.005421,0.003697,0.08737,286.567657,84.980904,0.54224,-0.010099,-0.021097,0.020777,-0.028404,-0.002065,0.168458,-0.036959,-0.0395,0.000694,-0.041052
2019-04-04,5036.681152,165.514847,19.453466,0.361803,1.00701,0.00359,0.091226,292.641144,88.677864,0.577468,0.023134,0.047214,0.016235,0.088087,0.00158,-0.028942,0.044134,0.021194,0.043503,0.064967
2019-04-05,5059.817383,165.947205,19.115629,0.354405,1.003663,0.003439,0.090289,306.074097,92.573418,0.57011,0.004594,0.002612,-0.017366,-0.020448,-0.003324,-0.042061,-0.010271,0.045902,0.043929,-0.012742
2019-04-06,5198.896973,174.531647,19.110271,0.359856,1.004601,0.003418,0.090484,319.596527,92.31237,0.577119,0.027487,0.05173,-0.00028,0.015381,0.000935,-0.006106,0.00216,0.04418,-0.00282,0.012294
2019-04-07,5289.770996,180.25882,18.113703,0.358234,1.008983,0.003045,0.087009,310.157837,89.493042,0.568899,0.017479,0.032815,-0.052148,-0.004507,0.004362,-0.109128,-0.038405,-0.029533,-0.030541,-0.014243
2019-04-08,5204.958496,176.114578,18.435053,0.349462,1.007853,0.002884,0.083749,296.04364,86.786964,0.53468,-0.016033,-0.022991,0.017741,-0.024487,-0.00112,-0.052874,-0.037467,-0.045506,-0.030238,-0.060149
2019-04-09,5324.551758,177.337479,18.248579,0.354792,1.003762,0.003021,0.089964,305.21991,88.377739,0.520257,0.022977,0.006944,-0.010115,0.015252,-0.004059,0.047503,0.07421,0.030996,0.01833,-0.026975
2019-04-10,5064.487793,165.497025,17.70048,0.330984,1.005609,0.002789,0.083385,272.709625,79.677994,0.486123,-0.048842,-0.066768,-0.030035,-0.067104,0.00184,-0.076796,-0.073129,-0.106514,-0.098438,-0.06561
2019-04-11,5089.539062,164.736328,18.434271,0.326346,1.007195,0.002856,0.083463,282.853149,78.963959,0.49535,0.004946,-0.004596,0.041456,-0.014013,0.001577,0.024023,0.000935,0.037195,-0.008962,0.018981
2019-04-12,5096.586426,164.513351,18.719797,0.326031,1.006739,0.002872,0.083731,279.469482,78.221306,0.539208,0.001385,-0.001354,0.015489,-0.000965,-0.000453,0.005602,0.003211,-0.011963,-0.009405,0.088539
2019-04-13,5167.722168,167.838516,19.49202,0.328809,1.005378,0.002882,0.084643,288.647156,82.937523,0.52874,0.013958,0.020212,0.041252,0.008521,-0.001352,0.003482,0.010892,0.03284,0.060293,-0.019414
2019-04-14,5067.108398,161.574173,19.402426,0.320913,1.00121,0.00279,0.082307,314.118164,79.054703,0.492214,-0.01947,-0.037324,-0.004596,-0.024014,-0.004146,-0.031922,-0.027598,0.088243,-0.046816,-0.069081
2019-04-15,5235.55957,167.623444,19.827456,0.327218,1.010522,0.002835,0.083783,318.306274,81.349281,0.503054,0.033244,0.03744,0.021906,0.019647,0.009301,0.016129,0.017933,0.013333,0.029025,0.022023
2019-04-16,5251.937988,166.95076,19.60335,0.335453,1.006307,0.00281,0.083074,310.799957,79.327469,0.500259,0.003128,-0.004013,-0.011303,0.025167,-0.004171,-0.008818,-0.008462,-0.023582,-0.024853,-0.005556
2019-04-17,5298.385742,173.814026,22.038479,0.337065,1.004995,0.002946,0.081775,306.956024,82.074875,0.524362,0.008844,0.04111,0.12422,0.004805,-0.001304,0.048399,-0.015637,-0.012368,0.034634,0.048181
2019-04-18,5303.8125,173.708435,24.475281,0.331902,1.005918,0.002893,0.0795,306.808075,82.569221,0.51427,0.001024,-0.000607,0.11057,-0.015318,0.000918,-0.017991,-0.02782,-0.000482,0.006023,-0.019246
2019-04-19,5337.88623,173.751266,25.007528,0.328476,1.005203,0.002902,0.076506,300.753204,81.512497,0.515661,0.006424,0.000247,0.021746,-0.010322,-0.000711,0.003111,-0.03766,-0.019735,-0.012798,0.002705
2019-04-20,5314.53125,170.046524,24.193829,0.322449,1.006657,0.00276,0.074106,290.480255,77.331558,0.499498,-0.004375,-0.021322,-0.032538,-0.018348,0.001446,-0.048932,-0.03137,-0.034157,-0.051292,-0.031344
2019-04-21,5399.365234,171.874664,23.90811,0.323934,1.006089,0.002798,0.07804,292.811829,76.948074,0.496664,0.015963,0.010751,-0.01181,0.004605,-0.000564,0.013768,0.053086,0.008027,-0.004959,-0.005674
2019-04-22,5572.362305,171.4478,22.876261,0.321222,1.008323,0.002772,0.074524,291.173889,74.845024,0.481483,0.03204,-0.002484,-0.043159,-0.008372,0.00222,-0.009292,-0.045054,-0.005594,-0.027331,-0.030566
2019-04-23,5464.866699,165.826096,23.129068,0.302318,1.005564,0.002599,0.072645,278.936615,73.308945,0.478313,-0.019291,-0.03279,0.011051,-0.05885,-0.002736,-0.06241,-0.025213,-0.042027,-0.020523,-0.006584
2019-04-24,5210.515625,154.459396,22.243107,0.289384,0.992808,0.002506,0.069244,266.85202,71.248116,0.445506,-0.046543,-0.068546,-0.038305,-0.042783,-0.012685,-0.035783,-0.046817,-0.043324,-0.028112,-0.068589
2019-04-25,5279.348145,156.347092,22.869429,0.298502,0.991103,0.002519,0.069219,263.879272,73.115349,0.436926,0.01321,0.012221,0.028158,0.031508,-0.001717,0.005188,-0.000361,-0.01114,0.026207,-0.019259
2019-04-26,5268.291016,158.434937,22.341587,0.296741,0.994751,0.002516,0.070196,263.940918,72.120903,0.441571,-0.002094,0.013354,-0.023081,-0.005899,0.003681,-0.001191,0.014115,0.000234,-0.013601,0.010631
2019-04-27,5285.13916,157.295074,22.89934,0.297426,0.993873,0.002531,0.068591,255.470123,69.726799,0.448218,0.003198,-0.007195,0.024965,0.002308,-0.000883,0.005962,-0.022865,-0.032094,-0.033196,0.015053
2019-04-28,5247.352539,155.201996,21.705067,0.294289,1.00037,0.002466,0.064631,236.612488,67.960381,0.433501,-0.00715,-0.013307,-0.052153,-0.010547,0.006537,-0.025682,-0.057734,-0.073815,-0.025333,-0.032834
2019-04-29,5350.726562,162.166031,22.127836,0.309476,1.006049,0.002513,0.070346,267.758148,74.280876,0.47317,0.0197,0.044871,0.019478,0.051606,0.005677,0.019059,0.088425,0.131632,0.093003,0.091508
2019-04-30,5402.697266,160.818344,21.953621,0.304696,1.00215,0.002521,0.069014,271.816498,73.657768,0.476025,0.009713,-0.008311,-0.007873,-0.015445,-0.003876,0.003183,-0.018935,0.015157,-0.008389,0.006034
2019-05-01,5505.283691,162.122787,23.59193,0.303239,1.001149,0.002611,0.068579,270.182587,73.777176,0.463421,0.018988,0.008111,0.074626,-0.004782,-0.000999,0.0357,-0.006303,-0.006011,0.001621,-0.026478
2019-05-02,5768.289551,167.952408,23.749628,0.308222,1.001222,0.002721,0.069858,293.013489,79.32653,0.512165,0.047773,0.035958,0.006684,0.016433,7.3e-05,0.042129,0.01865,0.084502,0.075218,0.105183
2019-05-03,5831.16748,164.026581,22.884832,0.304552,1.000478,0.00268,0.06688,291.49115,78.063843,0.494995,0.010901,-0.023375,-0.036413,-0.011907,-0.000743,-0.015068,-0.042629,-0.005195,-0.015918,-0.033524
2019-05-04,5795.708496,163.450699,23.019953,0.302342,1.002276,0.002653,0.066146,293.947449,75.984367,0.506979,-0.006081,-0.003511,0.005904,-0.007257,0.001797,-0.010075,-0.010975,0.008427,-0.026638,0.02421
2019-05-05,5746.807129,172.653214,22.206635,0.302389,0.999546,0.002542,0.06678,287.66449,74.982758,0.57812,-0.008438,0.056301,-0.035331,0.000155,-0.002724,-0.041839,0.009585,-0.021374,-0.013182,0.140323
2019-05-06,5829.501465,169.79866,20.86418,0.299684,0.998015,0.002536,0.064036,286.734985,74.693001,0.544724,0.01439,-0.016533,-0.060453,-0.008945,-0.001532,-0.00236,-0.04109,-0.003231,-0.003864,-0.057767
2019-05-07,5982.45752,170.948166,20.752676,0.300721,1.001374,0.002537,0.064606,286.298767,74.620285,0.591537,0.026238,0.00677,-0.005344,0.00346,0.003366,0.000394,0.008901,-0.001521,-0.000974,0.085939
2019-05-08,6174.528809,170.289307,18.828356,0.296509,0.999281,0.0025,0.061691,284.186249,74.177139,0.639849,0.032106,-0.003854,-0.092726,-0.014006,-0.00209,-0.014584,-0.04512,-0.007379,-0.005939,0.081672
2019-05-09,6378.849121,173.142746,19.598108,0.300387,1.001102,0.002522,0.063428,287.730011,77.166649,0.67146,0.033091,0.016756,0.040883,0.013079,0.001822,0.0088,0.028156,0.01247,0.040302,0.049404
2019-05-10,7204.771484,194.304337,21.049442,0.324543,1.000759,0.002754,0.075171,356.366302,89.22226,0.678823,0.129478,0.12222,0.074055,0.080416,-0.000343,0.09199,0.185139,0.238544,0.156228,0.010966
2019-05-11,6972.371582,187.325317,20.830297,0.310074,0.995634,0.002665,0.070086,354.029938,84.565514,0.65799,-0.032256,-0.035918,-0.010411,-0.044583,-0.005121,-0.032317,-0.067646,-0.006556,-0.052193,-0.03069
2019-05-12,7814.915039,196.846283,23.811028,0.325475,1.005109,0.002756,0.073072,384.477142,88.058235,0.646697,0.12084,0.050826,0.143096,0.049669,0.009516,0.034146,0.042605,0.086002,0.041302,-0.017163
2019-05-13,7994.416016,217.148575,23.626419,0.409062,1.000001,0.003068,0.084505,388.958496,91.620407,0.823082,0.022969,0.103138,-0.007753,0.256815,-0.005082,0.113208,0.156462,0.011656,0.040452,0.272747
2019-05-14,8205.167969,247.153061,26.894939,0.456005,1.002776,0.003308,0.093951,402.927246,101.744568,0.845574,0.026362,0.138175,0.138342,0.114758,0.002775,0.078227,0.11178,0.035913,0.110501,0.027327
2019-05-15,7884.90918,264.01001,26.325806,0.419707,0.99904,0.003168,0.088161,398.703644,95.585587,0.926125,-0.039031,0.068204,-0.021161,-0.0796,-0.003726,-0.042322,-0.061628,-0.010482,-0.060534,0.095262
2019-05-16,7343.895508,243.764587,25.682571,0.386193,0.996773,0.002962,0.08326,364.85144,88.995232,0.887731,-0.068614,-0.076684,-0.024434,-0.079851,-0.002269,-0.065025,-0.055591,-0.084906,-0.068947,-0.041457
2019-05-17,7271.208008,234.59523,28.396793,0.372736,0.99664,0.003005,0.079104,357.617462,86.700188,0.934154,-0.009898,-0.037616,0.105683,-0.034845,-0.000133,0.014517,-0.049916,-0.019827,-0.025788,0.052294
2019-05-18,8197.689453,261.292206,29.412844,0.4177,1.01061,0.003178,0.086996,421.493286,95.321198,0.99435,0.127418,0.1138,0.03578,0.120632,0.014017,0.057571,0.099767,0.178615,0.099435,0.064439
2019-05-19,7978.309082,251.86441,29.305387,0.398003,1.003848,0.003041,0.084848,412.811127,91.493675,1.128938,-0.026761,-0.036081,-0.003653,-0.047156,-0.006691,-0.043109,-0.024691,-0.020599,-0.040154,0.135353
2019-05-20,7963.327637,255.215881,32.007378,0.397603,1.005497,0.003086,0.084617,417.550446,91.507751,1.185923,-0.001878,0.013307,0.092201,-0.001005,0.001643,0.014798,-0.002723,0.011481,0.000154,0.050477
2019-05-21,7680.066406,244.698914,31.422043,0.376637,1.001399,0.002939,0.077955,392.508636,88.210571,1.220044,-0.035571,-0.041208,-0.018287,-0.052731,-0.004076,-0.047634,-0.078731,-0.059973,-0.036032,0.028772
2019-05-22,7881.84668,245.965668,31.515736,0.381204,1.004428,0.002961,0.08069,405.840637,89.176773,1.344991,0.026273,0.005177,0.002982,0.012126,0.003025,0.007486,0.035084,0.033966,0.010953,0.102412
2019-05-23,7987.371582,249.484985,33.841393,0.384541,1.003004,0.002995,0.080869,409.051208,99.90303,1.33696,0.013388,0.014308,0.073794,0.008754,-0.001418,0.011483,0.002218,0.007911,0.120281,-0.005971
2019-05-24,8052.543945,251.759872,35.053101,0.38704,1.003458,0.002991,0.080502,406.740601,102.672318,1.129312,0.008159,0.009118,0.035806,0.006499,0.000453,-0.001336,-0.004538,-0.005649,0.02772,-0.155313
2019-05-25,8673.21582,267.069641,34.104851,0.408413,1.009858,0.003092,0.086014,432.840698,111.418602,1.087065,0.077078,0.060811,-0.027052,0.055222,0.006378,0.033768,0.06847,0.064169,0.085186,-0.03741
2019-05-26,8805.77832,272.86264,33.680679,0.434168,1.004945,0.003141,0.091695,443.796326,118.0326,1.211011,0.015284,0.021691,-0.012437,0.063061,-0.004865,0.015847,0.066047,0.025311,0.059362,0.114019
2019-05-27,8719.961914,271.768707,33.360947,0.446549,1.00001,0.003148,0.092815,434.996216,114.93116,1.275389,-0.009745,-0.004009,-0.009493,0.028517,-0.004911,0.002229,0.012214,-0.019829,-0.026276,0.05316
2019-05-28,8659.487305,269.455688,33.744354,0.443713,1.001285,0.003127,0.090867,454.123138,115.08123,1.182788,-0.006935,-0.008511,0.011493,-0.006351,0.001275,-0.006671,-0.020988,0.04397,0.001306,-0.072606
2019-05-29,8319.472656,255.858948,32.291065,0.422395,1.001971,0.003258,0.08451,424.623291,108.795578,1.024751,-0.039265,-0.05046,-0.043068,-0.048045,0.000685,0.041893,-0.069959,-0.06496,-0.054619,-0.133614
2019-05-30,8574.501953,268.113556,32.748165,0.438574,1.003473,0.003441,0.089441,445.069946,114.536957,1.02152,0.030655,0.047896,0.014156,0.038303,0.001499,0.056169,0.058348,0.048152,0.052772,-0.003153
2019-05-31,8564.016602,265.391266,33.013649,0.430583,1.003931,0.003419,0.090533,434.460144,112.61927,0.965132,-0.001223,-0.010153,0.008107,-0.01822,0.000456,-0.006393,0.012209,-0.023839,-0.016743,-0.0552
2019-06-01,8742.958008,270.225525,33.174049,0.444785,1.002115,0.003398,0.096578,443.771545,114.702835,1.012434,0.020895,0.018216,0.004859,0.032983,-0.001809,-0.006142,0.066771,0.021432,0.018501,0.049011
2019-06-02,8208.995117,252.607925,31.391956,0.425764,0.999562,0.003198,0.088708,408.65979,107.468575,0.910969,-0.061073,-0.065196,-0.053719,-0.042764,-0.002548,-0.058858,-0.081489,-0.079121,-0.06307,-0.100219
