Date,sp500_rtn,DJ30_rtn,BTC_rtn,ETH_rtn,BNB_rtn,XRP_rtn,USDT_rtn,DOGE_rtn,ADA_rtn,BCH_rtn,LTC_rtn,LINK_rtn,_merge
2019-04-12,0.006609,0.010298999999999999,0.001385,-0.001354,0.015489,-0.000965,-0.000453,0.005602,0.003211,-0.011963,-0.009405,0.08853899999999999,both
2019-04-15,-0.000629,-0.001042,0.033244,0.03744,0.021906000000000002,0.019647,0.009301,0.016128999999999998,0.017933,0.013333000000000001,0.029025,0.022022999999999997,both
2019-04-16,0.000509,0.002573,0.003128,-0.004013,-0.011303,0.025167,-0.004171,-0.008818000000000001,-0.008462,-0.023582,-0.024853,-0.005556,both
2019-04-17,-0.002274,-0.000118,0.008844,0.04111,0.12422000000000001,0.004804999999999999,-0.0013039999999999998,0.048399,-0.015637,-0.012368,0.034634,0.048181,both
2019-04-18,0.0015789999999999999,0.004159,0.001024,-0.000607,0.11057,-0.015318,0.000918,-0.017991,-0.027819999999999998,-0.000482,0.006023,-0.019246,both
2019-04-22,0.0010119999999999999,-0.0018260000000000001,0.03204,-0.002484,-0.043158999999999996,-0.008372,0.0022199999999999998,-0.009292,-0.045054000000000004,-0.005594,-0.027331,-0.030566000000000003,both
2019-04-23,0.008841,0.005482,-0.019291,-0.03279,0.011051,-0.05885,-0.002736,-0.06241,-0.025213,-0.042026999999999995,-0.020523,-0.0065840000000000004,both
2019-04-24,-0.0021920000000000004,-0.002226,-0.046543,-0.06854600000000001,-0.038305,-0.042783,-0.012685,-0.035782999999999995,-0.046817000000000004,-0.043324,-0.028112,-0.068589,both
2019-04-25,-0.00036899999999999997,-0.005075,0.01321,0.012221,0.028158,0.031508,-0.0017170000000000002,0.005188,-0.000361,-0.01114,0.026206999999999998,-0.019259000000000002,both
2019-04-26,0.004685,0.00307,-0.002094,0.013354,-0.023081,-0.005899000000000001,0.0036810000000000002,-0.001191,0.014115,0.000234,-0.013600999999999999,0.010631,both
2019-04-29,0.001072,0.000417,0.0197,0.044871,0.019478,0.05160599999999999,0.005677000000000001,0.019059,0.088425,0.131632,0.093003,0.091508,both
2019-04-30,0.000951,0.001451,0.009713,-0.008311,-0.007873,-0.015444999999999999,-0.0038759999999999997,0.0031829999999999996,-0.018935,0.015156999999999999,-0.008389,0.006034,both
2019-05-01,-0.007502,-0.006121,0.018987999999999998,0.008111,0.074626,-0.004782,-0.000999,0.0357,-0.0063030000000000004,-0.006011,0.001621,-0.026477999999999998,both
2019-05-02,-0.002124,-0.004629,0.047773,0.035958,0.006684000000000001,0.016433,7.3e-05,0.042129,0.01865,0.084502,0.075218,0.105183,both
2019-05-03,0.009637999999999999,0.007494,0.010901000000000001,-0.023375,-0.036413,-0.011907,-0.000743,-0.015068000000000002,-0.042629,-0.005195,-0.015918,-0.033524,both
2019-05-06,-0.004471,-0.002508,0.01439,-0.016533000000000003,-0.060453,-0.008945,-0.001532,-0.00236,-0.041089999999999995,-0.0032310000000000004,-0.0038640000000000002,-0.057767,both
2019-05-07,-0.016512,-0.017905,0.026238,0.00677,-0.005344,0.00346,0.0033659999999999996,0.000394,0.008901000000000001,-0.001521,-0.000974,0.085939,both
2019-05-08,-0.001605,8.6e-05,0.032106,-0.003854,-0.092726,-0.014006000000000001,-0.00209,-0.014584,-0.04512,-0.007379000000000001,-0.005939,0.08167200000000001,both
2019-05-09,-0.0030210000000000002,-0.005352,0.033091,0.016756,0.040882999999999996,0.013078999999999999,0.0018219999999999998,0.0088,0.028156,0.01247,0.040302,0.049404,both
2019-05-10,0.00372,0.004414,0.129478,0.12222000000000001,0.074055,0.080416,-0.000343,0.09199,0.185139,0.238544,0.156228,0.010966,both
2019-05-13,-0.024131,-0.023798,0.022969,0.10313800000000001,-0.007753,0.256815,-0.005082,0.11320799999999999,0.156462,0.011656,0.040451999999999995,0.27274699999999996,both
2019-05-14,0.008015999999999999,0.008176000000000001,0.026362,0.138175,0.13834200000000002,0.114758,0.002775,0.078227,0.11177999999999999,0.035913,0.110501,0.027326999999999997,both
2019-05-15,0.0058390000000000004,0.004542,-0.039031,0.068204,-0.021161000000000003,-0.0796,-0.0037259999999999997,-0.042322000000000005,-0.061627999999999995,-0.010482,-0.060534000000000004,0.095262,both
2019-05-16,0.008895,0.008369,-0.068614,-0.076684,-0.024434,-0.079851,-0.002269,-0.065025,-0.055590999999999995,-0.084906,-0.06894700000000001,-0.041457,both
2019-05-17,-0.005837,-0.0038159999999999995,-0.009898,-0.037616000000000004,0.105683,-0.034845,-0.000133,0.014516999999999999,-0.049916,-0.019827,-0.025788,0.05229400000000001,both
2019-05-20,-0.006749,-0.003264,-0.0018780000000000001,0.013307,0.092201,-0.001005,0.001643,0.014797999999999999,-0.002723,0.011481,0.000154,0.050477,both
2019-05-21,0.008496,0.0076879999999999995,-0.035571,-0.041208,-0.018287,-0.05273099999999999,-0.004076,-0.047633999999999996,-0.078731,-0.059973,-0.036032,0.028772000000000002,both
2019-05-22,-0.0028239999999999997,-0.003892,0.026273,0.005177,0.002982,0.012126000000000001,0.003025,0.007486,0.035084,0.033966,0.010953000000000001,0.10241199999999999,both
2019-05-23,-0.011914,-0.011101,0.013387999999999999,0.014308000000000001,0.07379400000000001,0.008754000000000001,-0.001418,0.011483,0.002218,0.007911,0.120281,-0.005971,both
2019-05-24,0.001354,0.003735,0.008159,0.009118000000000001,0.035806,0.006499,0.000453,-0.001336,-0.004538,-0.005649,0.027719999999999998,-0.155313,both
2019-05-28,-0.008376,-0.009299,-0.006934999999999999,-0.008511,0.011493000000000001,-0.006351,0.001275,-0.006670999999999999,-0.020988,0.04397,0.001306,-0.07260599999999999,both
2019-05-29,-0.006912000000000001,-0.008733,-0.039264999999999994,-0.050460000000000005,-0.043068,-0.048045,0.000685,0.041893,-0.06995900000000001,-0.06496,-0.05461900000000001,-0.133614,both
2019-05-30,0.002098,0.00173,0.030655,0.047896,0.014156,0.038303,0.0014990000000000001,0.056169000000000004,0.058348000000000004,0.048152,0.052772,-0.003153,both
2019-05-31,-0.013194999999999998,-0.014098,-0.0012230000000000001,-0.010153,0.008107,-0.01822,0.00045599999999999997,-0.006393,0.012209000000000001,-0.023839,-0.016743,-0.0552,both
2019-06-03,-0.0027649999999999997,0.00019099999999999998,-0.061058,-0.044611000000000005,-0.064072,-0.058946000000000005,-0.004501,-0.048780000000000004,-0.07014,-0.063622,-0.050068,-0.030427999999999997,both
2019-06-04,0.021432,0.020645,0.015109000000000001,0.023669,0.05533,0.005154,0.010068,0.009204,0.011541,0.041088,0.017254,0.219494,both
2019-06-05,0.008162,0.008187,-0.00028199999999999997,0.009809,0.015281999999999999,0.041735,-0.0014039999999999999,0.005536999999999999,0.000407,-0.0036490000000000003,0.06988899999999999,0.039471,both
2019-06-06,0.006136,0.007091,0.028372,0.005836,0.003411,0.008556999999999999,0.0029690000000000003,0.007451,0.027974000000000002,0.011348,0.056407000000000006,0.051785000000000005,both
2019-06-07,0.010498,0.010236,-0.011167,-0.020692,0.015159,-0.025333,-0.0019100000000000002,-0.00836,-0.018577,-0.01792,0.010033,-0.021223,both
2019-06-10,0.00466,0.00303,-0.009077,-0.007023000000000001,0.006173,-0.015399000000000001,-0.000552,-0.010676,0.028385000000000004,-0.016908000000000003,0.05391,-0.044819,both
2019-06-11,-0.00035,-0.000544,0.027517000000000003,0.061524,0.075125,0.01902,-0.002135,0.002943,0.097311,0.021834,-0.002764,0.003913000000000001,both
2019-06-12,-0.002038,-0.0016769999999999999,0.010443000000000001,-0.018147,0.013168000000000001,-0.002173,-0.001026,0.002282,-0.07030299999999999,0.039258,-0.031713,0.617069,both
2019-06-13,0.004097,0.00392,0.05624,0.030912000000000002,-0.05881,0.012556999999999999,0.004248,0.016266,0.009806,0.022686,0.012953999999999999,-0.09273200000000001,both
2019-06-14,-0.0016120000000000002,-0.000657,0.016626,0.018675,-0.007573999999999999,0.011081,-0.000591,0.010563,0.011741,0.0036560000000000004,0.038133999999999994,0.026688999999999997,both
2019-06-17,0.000932,0.0008789999999999999,-0.025599,-0.033895,0.012431000000000001,-0.043115,-0.005009,-0.020376,-0.047126,-0.042949,0.00536,-0.07765,both
2019-06-18,0.009717,0.013519,0.021115000000000002,0.016525,0.027598,0.018789,0.002176,0.0016,0.009322,0.007175,0.010687,0.010945,both
