Date,BTC,ETH,BNB,XRP,USDT,DOGE,ADA,BCH,LTC,LINK
2019-04-07,17154113634.0,9304964610.0,178255322.0,1513421926.0,17972924418.0,62195173.0,134978650.0,1918300729.0,3295695862.0,9889748.0
2019-04-08,14722104361.0,7632529578.0,203380139.0,1076688924.0,14315304509.0,53210703.0,122878696.0,1312902759.0,2742631078.0,7970929.0
2019-04-09,15504590933.0,7856924879.0,180291307.0,1213341089.0,15995091262.0,50718761.0,131422302.0,1476621660.0,2765900677.0,8226906.0
2019-04-10,16555616019.0,7859383417.0,159364357.0,1641951210.0,17391967979.0,45881209.0,163656338.0,1824110954.0,3461536000.0,7966598.0
2019-04-11,13675206312.0,6237185309.0,171773154.0,1076074031.0,13546700426.0,42878877.0,110371615.0,1458454991.0,2839796022.0,6616811.0
2019-04-12,10823289598.0,4959301561.0,167393154.0,976688780.0,10655745799.0,34870866.0,71755836.0,1142074597.0,2379257754.0,7063057.0
2019-04-13,10391952498.0,4846298303.0,189084742.0,746765729.0,9870255987.0,30693264.0,82514758.0,990830744.0,2328308745.0,5680703.0
2019-04-14,12290155061.0,5672311824.0,176699111.0,934107164.0,12810459909.0,36669437.0,73555913.0,2459286061.0,2742760721.0,6369018.0
2019-04-15,11618660197.0,5180105341.0,174830782.0,799796781.0,10983003413.0,31946320.0,65962870.0,1686596635.0,2176907331.0,4307086.0
2019-04-16,12438480677.0,5596102715.0,186563033.0,1137811633.0,11369931706.0,32027922.0,66210753.0,1373348879.0,2060101784.0,4224360.0
2019-04-17,13256489918.0,6971581464.0,376729341.0,1092731769.0,12499290660.0,42590190.0,70016366.0,1203614370.0,2616912436.0,4816738.0
2019-04-18,13780238655.0,6541053061.0,397681147.0,1025167554.0,12376436010.0,36059338.0,82646736.0,1395000142.0,2608961075.0,5918321.0
2019-04-19,13169647522.0,6142567812.0,311312466.0,931570799.0,11106675016.0,35542377.0,77410325.0,1036399596.0,2422737857.0,4637764.0
2019-04-20,13731844223.0,6005571688.0,281288778.0,1005803846.0,12526292374.0,37077986.0,89301952.0,1279142852.0,2957685726.0,5015660.0
2019-04-21,14601631648.0,6094878077.0,254544860.0,1131094080.0,12392918470.0,36334621.0,90476347.0,1184945128.0,2657300819.0,5966146.0
2019-04-22,15867308108.0,7097827092.0,264898474.0,1077333990.0,13668552021.0,37261547.0,100698845.0,1434551201.0,2920088568.0,6260080.0
2019-04-23,17048033399.0,7351304156.0,259839247.0,1517791002.0,15689022306.0,43229277.0,90318024.0,1554756186.0,3347048436.0,7281840.0
2019-04-24,15330283408.0,6820332362.0,244068802.0,1191205196.0,13786916955.0,33422071.0,96537994.0,1229338671.0,2754712046.0,6760468.0
