Date,Open,High,Low,Close,Volume,ret
2019-03-01,2252.69,2314.4,2242.27,2270.55,16502416384.0,
2019-03-02,2267.58,2299.79,2229.98,2264.47,16396972032.0,-0.0026777652991567535
2019-03-03,2264.48,2285.93,2228.49,2244.83,15152706560.0,-0.008673111147420753
2019-03-04,2243.75,2257.43,2129.69,2169.79,19090982912.0,-0.03342792104524617
2019-03-05,2170.52,2321.21,2152.14,2309.16,22333294592.0,0.06423202245378579
2019-03-06,2309.69,2341.05,2268.44,2317.06,20679698432.0,0.003421157477177861
2019-03-07,2316.76,2369.78,2297.1,2330.8,21138964480.0,0.005929928443803911
2019-03-08,2333.61,2367.62,2269.63,2297.14,22217127936.0,-0.014441393512957035
2019-03-09,2295.03,2389.91,2285.49,2357.97,23036954624.0,0.02648075432929642
2019-03-10,2360.66,2388.94,2314.62,2356.29,20438972416.0,-0.0007124772579802929
2019-03-11,2356.17,2386.83,2294.12,2322.29,21405884416.0,-0.01442946326640604
2019-03-12,2323.7,2384.6,2276.46,2364.43,20903133184.0,0.018145881866605817
2019-03-13,2366.52,2398.98,2328.8,2358.48,20097615872.0,-0.0025164627415485974
2019-03-14,2356.95,2419.78,2337.7,2385.29,23189782528.0,0.011367490926359247
2019-03-15,2384.2,2449.9,2371.39,2429.42,20189663232.0,0.01850089506936259
2019-03-16,2430.08,2527.35,2424.65,2498.73,22103277568.0,0.028529443241596786
2019-03-17,2498.17,2510.45,2445.76,2473.2,17713264640.0,-0.010217190332689086
2019-03-18,2475.09,2521.25,2440.5,2474.77,21476997120.0,0.0006348051107876174
2019-03-19,2474.73,2521.23,2453.55,2502.82,20206903296.0,0.011334386629868742
2019-03-20,2503.71,2539.34,2451.41,2521.75,22108733440.0,0.00756346840763622
2019-03-21,2522.0,2562.13,2424.93,2483.4,23325181952.0,-0.015207693070288464
2019-03-22,2480.88,2540.41,2458.63,2504.45,20238983168.0,0.008476282515905487
2019-03-23,2502.92,2566.03,2485.9,2540.89,20958005248.0,0.014550100820539535
2019-03-24,2539.82,2568.79,2488.21,2527.95,20379906048.0,-0.005092703737666793
2019-03-25,2529.68,2548.09,2439.49,2475.61,22098812928.0,-0.02070452342807405
2019-03-26,2474.87,2497.51,2423.89,2483.05,22164926464.0,0.0030053199009536513
2019-03-27,2482.35,2605.46,2473.39,2596.99,25651437568.0,0.04588711463724038
2019-03-28,2596.3,2619.68,2547.46,2585.06,20935454720.0,-0.004593779721908775
2019-03-29,2584.77,2657.02,2551.75,2624.17,24274946048.0,0.015129242648139751
2019-03-30,2621.66,2745.91,2570.56,2623.22,22491594752.0,-0.00036201922893730476
2019-03-31,2600.65,2643.42,2575.11,2620.93,20031553536.0,-0.0008729729111549567
2019-04-01,2620.01,2698.5,2601.73,2666.53,22286966784.0,0.01739840438317719
2019-04-02,2666.66,3114.67,2649.29,3087.3,48807452672.0,0.15779683708790082
2019-04-03,3088.26,3461.98,2980.08,3125.05,57961009152.0,0.012227512713374189
2019-04-04,3125.56,3266.36,2996.73,3097.19,42565496832.0,-0.008915057359082268
2019-04-05,3097.23,3288.31,3082.42,3247.47,38134050816.0,0.04852140165763141
2019-04-06,3247.75,3366.0,3162.82,3242.45,37652054016.0,-0.001545818745053884
2019-04-07,3241.63,3386.67,3203.17,3334.72,38174851072.0,0.028456876744437087
2019-04-08,3335.92,3427.76,3204.34,3315.82,41034166272.0,-0.005667642260819394
2019-04-09,3315.67,3336.59,3184.83,3235.11,34072641536.0,-0.024340887020405266
